,neighbourhood_group, mean_price,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,new_price
3272,Brooklyn,120.22525762129668,4199782,Park Slope's - Pied à Terre (1-Bedroom Apt),21789707,Alexandre,South Slope,40.6656,-73.98575,Entire home/apt,151,2,142,2020-04-01,2.0,1,3,15100
3273,Brooklyn,120.22525762129668,4204083,The White House,21811394,Hazel,Bedford-Stuyvesant,40.6789,-73.94001,Entire home/apt,129,1,260,2020-03-12,3.69,1,342,12900
3274,Brooklyn,120.22525762129668,4205232,Private Room in Brooklyn,6468894,Cherng-Mao,Williamsburg,40.71564,-73.95107,Private room,75,1,10,2016-04-19,0.14,1,0,7500
3275,Brooklyn,120.22525762129668,4205816,Spacious  South Slope apartment,20312973,Diana,Sunset Park,40.66423,-73.99565,Entire home/apt,70,5,6,2015-12-27,0.09,1,0,7000
3276,Brooklyn,120.22525762129668,4206087,Spacious Artist's Studio,2423107,Brad,Prospect-Lefferts Gardens,40.66066,-73.95965,Entire home/apt,120,1,4,2015-05-03,0.06,1,0,12000
3277,Brooklyn,120.22525762129668,4209106,Bright Private Apartment w/ Manhattan Views,4218058,Jessica,Fort Greene,40.68526,-73.97154,Entire home/apt,500,10,11,2018-07-31,0.16,2,173,50000
3278,Brooklyn,120.22525762129668,4211276,"Beautiful, Spacious Brooklyn Home",21064917,Alissa,Prospect-Lefferts Gardens,40.66302,-73.95198,Entire home/apt,275,3,3,2015-01-01,0.04,1,0,27500
3279,Brooklyn,120.22525762129668,4216183,Cozy and Vibey Apt in Williamsburg,14565233,Gabriela,Williamsburg,40.71543,-73.94159,Entire home/apt,115,2,3,2015-01-04,0.04,1,0,11500
3280,Brooklyn,120.22525762129668,4216745,Sunlit Private Room / Spacious Pre-War Apartment,21881605,Julie,Crown Heights,40.67658,-73.9444,Private room,107,1,0,,,2,83,10700
3281,Brooklyn,120.22525762129668,4216774,Stay in the heart of Williamsburg!,15243531,Amanda,Williamsburg,40.71722,-73.95862,Entire home/apt,150,2,4,2015-11-16,0.06,1,0,15000
3282,Brooklyn,120.22525762129668,4216813,Penthouse w/Terrace Williamsburg,9904977,Matt,Greenpoint,40.72309,-73.93767,Entire home/apt,195,3,111,2020-03-20,1.56,1,364,19500
3283,Brooklyn,120.22525762129668,4218034,Urban Jungle Garden Duplex,6841194,Eric,Bedford-Stuyvesant,40.68266,-73.91971,Entire home/apt,199,30,251,2020-03-09,3.58,2,168,19900
3284,Brooklyn,120.22525762129668,4218129,Special OFFER on Airbnb NYC Room!,21641206,Veronica,Bedford-Stuyvesant,40.69527,-73.94786,Private room,94,3,397,2020-03-16,5.56,3,350,9400
3285,Brooklyn,120.22525762129668,4225738,1 BR/terrace Apartment in Boerum Hill,835105,Vik,Boerum Hill,40.68811,-73.98841,Entire home/apt,124,30,9,2016-02-17,0.13,1,335,12400
3286,Brooklyn,120.22525762129668,4225745,Cute Studio in Trendy Neighborhood,21930475,Whitney,Clinton Hill,40.68275,-73.96542,Entire home/apt,73,2,7,2018-08-13,0.1,1,0,7300
3287,Brooklyn,120.22525762129668,4226269,Private 1 bedroom in Williamsburg,20112613,Simone,Williamsburg,40.70013,-73.95165,Entire home/apt,80,2,3,2016-05-24,0.04,1,0,8000
3288,Brooklyn,120.22525762129668,4226535,Bright Top Floor Apartment In The Heart Of BK,14543419,Juli,Crown Heights,40.6721,-73.95372,Entire home/apt,84,30,16,2018-12-06,0.22,1,0,8400
3289,Brooklyn,120.22525762129668,4227018,Amazing View in East Williamsburg,21937306,William,Williamsburg,40.71752,-73.94187,Shared room,150,1,0,,,1,0,15000
3290,Brooklyn,120.22525762129668,4227141,Cozy Bedroom,21938126,Reenie,Bedford-Stuyvesant,40.68724,-73.94218,Private room,45,2,16,2019-12-30,0.59,2,0,4500
3291,Brooklyn,120.22525762129668,4227161,New York I Love You 7 Bedrooms,20318233,Nirit (Nina),Bedford-Stuyvesant,40.68542,-73.95184,Entire home/apt,1050,3,132,2020-02-17,1.92,1,359,105000
3292,Brooklyn,120.22525762129668,4231183,"Affordable gem in gorgeous Fort Greene, Brooklyn",18188164,Lori,Fort Greene,40.69333,-73.97174,Entire home/apt,120,2,2,2019-12-21,0.17,1,0,12000
3293,Brooklyn,120.22525762129668,4233006,Buddha & Lamb Spiritual Suite,21965282,Joseph,Bay Ridge,40.63324,-74.03077,Private room,61,2,32,2019-08-18,0.45,9,365,6100
3294,Brooklyn,120.22525762129668,4236725,"Spacious, elegant home in Brooklyn",3650005,Rae,Clinton Hill,40.69191,-73.96624,Entire home/apt,150,3,0,,,1,0,15000
3295,Brooklyn,120.22525762129668,4240861,Small Private Studio!,22005943,Tameisha,Bushwick,40.69108,-73.91443,Private room,90,2,143,2019-11-04,2.01,1,232,9000
3296,Brooklyn,120.22525762129668,4244174,Quiet room in Greenpoint,21062282,Madison,Greenpoint,40.73235,-73.95106,Private room,35,2,0,,,1,0,3500
3297,Brooklyn,120.22525762129668,4244476,Sunny and Funky Greenpoint Room,782008,Lori,Greenpoint,40.73093,-73.95332,Private room,75,1,1,2015-07-10,0.02,1,0,7500
3298,Brooklyn,120.22525762129668,4244528,Williamsburg Beauty,4162754,Angel,Williamsburg,40.71295,-73.9623,Private room,90,1,62,2020-01-02,1.04,1,359,9000
3299,Brooklyn,120.22525762129668,4250746,Newly-Renovated 2BR/1BTH Garden Apt,22057975,Kevin,Bushwick,40.69271,-73.92535,Entire home/apt,190,10,133,2020-02-14,1.87,1,179,19000
3300,Brooklyn,120.22525762129668,4251513,"Dreamy room, eclectic Bushwick apt",1540270,Ava,Bushwick,40.69962,-73.91667,Private room,30,2,57,2020-02-17,0.81,1,2,3000
3301,Brooklyn,120.22525762129668,4258443,Private bedroom in Bushwick,20408723,Andrea,Bushwick,40.69863,-73.91235,Private room,90,3,0,,,1,0,9000
3302,Brooklyn,120.22525762129668,4258491,Luxury 2 beds with 2 full bathrooms,3693847,Manav,Williamsburg,40.71336,-73.94188,Entire home/apt,250,2,43,2020-01-02,0.63,1,4,25000
3303,Brooklyn,120.22525762129668,4258867,Charming Brownstone Apt Fort Greene,1663994,Hellen,Fort Greene,40.68827,-73.97836,Entire home/apt,178,3,23,2019-10-07,0.39,1,0,17800
3304,Brooklyn,120.22525762129668,4259427,Appartement en duplex de 3 chambres,21833312,Solange Et Michel,Crown Heights,40.67027,-73.94033,Entire home/apt,250,6,30,2019-12-30,0.42,1,347,25000
3305,Brooklyn,120.22525762129668,4263624,LOVELY GARDEN APT FOR 2 TO 4,22131209,Gregory,Crown Heights,40.67566,-73.93944,Entire home/apt,106,4,15,2019-04-22,0.21,1,0,10600
